low_gap_old_new,low_gap_enjoy,low_gap_interesting,low_gap_clear,low_gap_good,low_gap_gender,low_gap_age,,medium_gap_old_new,medium_gap_enjoy,medium_gap_interesting,medium_gap_clear,medium_gap_good,medium_gap_gender,medium_gap_age,,high_gap_old_new,high_gap_enjoy,high_gap_interesting,high_gap_clear,high_gap_good,high_gap_gender,high_gap_age,,w,x,m,y,,medium_gap_old_new,medium_gap_clear,medium_gap_good,high_gap_old_new,high_gap_clear,high_gap_good
,,,,,,,,,,,,,,,,,,,,,,,,3,1,7,7,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,1,7,7,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,1,7,7,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,1,7,7,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,1,7,7,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,1,6,7,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,1,6,6,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,1,7,7,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,1,7,7,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,1,7,7,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,1,7,6.5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,1,5,6,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,1,4,5.5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,1,7,6,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,1,7,6,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,1,3,5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,1,6,5.5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,1,6,6.5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,1,7,6.5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,1,5,6,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,1,5,6.5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,1,7,6.5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,1,7,5.5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,1,4,4.5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,1,7,5.5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,1,4,4,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,1,7,5.5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,1,7,5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,1,5,5.5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,1,5,5.5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,1,5,5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,1,7,5.5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,1,6,5.5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,1,6,5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,1,3,5.5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,1,7,5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,1,4,4,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,1,6,5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,1,5,4,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,1,7,4.5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,1,6,3.5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,1,6,3.5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,1,3,4,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,1,7,5.5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,1,4,4,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,1,3,4,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,1,5,3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,1,7,3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,3.5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,2.5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,1.5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,1.5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,1,1,1.5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,1.5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,2,7,6.5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,2,4,5.5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,2,6,5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,2,4,4.5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,2,5,5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,2,4,5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,2,4,5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,2,4,4,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,2,5,4,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,2,3,4.5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,2,4,4.5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,2,5,4,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,2,5,4.5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,2,7,4.5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,2,4,4,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,2,6,4.5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,2,7,3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,2,3,4.5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,3.5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,2,5,3.5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,2,3,3.5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,2,4,3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,2,5,3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,2,6,2.5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,2,3,2.5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,2,3,2.5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,2,5,3.5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,2,4,2.5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,2,3,3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,2,3,3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,2,4,4,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,2,4,3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,2,6,2,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,2,1,2.5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,2,5,1.5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,2,4,3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,2,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,2,1,2,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,2,3,2,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,2,3,3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,2,5,2,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,2,1,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,2,1,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,2,3,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,2,1,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,2,1,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,2,1,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,2,1,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,2,1,1.5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,2,1,1.5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,2,1,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,2,1,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,2,7,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,2,1,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,2,1,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,2,5,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,2,1,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,1,,,,,,,
